titulo,subtitulo,primer_parrafo,seccion
"Murió Patricio Manns, figura clave de la Nueva Canción Chilena",El cantautor tenía 84 años y padeció el exilio entre 1973 y 1990,"El escritor y cantautor chileno Patricio Manns, una de las figuras más importantes de la Nueva Canción Chilena, falleció este sábado en Viña del Mar, a los 84 años. Una descompensación había obligado a internarlo hace un mes. Su cuadro se agravó por la diabetes que padecía. El candidato presidencial Gabriel Boric fue de los primeros en despedirlo a través de Twitter.",Cultura
"Netflix confirmó que se viene ""Tiger King 2""",Habrá segunda temporada del documental estrenado en 2020,"Netflix anunció que el documental Tiger King, estrenado en 2020 en la plataforma de streaming, tendrá una segunda parte. La historia del conflicto entre Joe Exotic y Carole Baskin fue una de las más exitosas que subió la cadena en materia de no ficción.",Cultura
¿Quién mató a Edmund Berry Godfrey?: un crimen y 300 años de especulaciones,El asesinato de un juez que derivó en una persecución a los católicos ingleses,"Paul Thomas Anderson inicia su película coral Magnolia, de 1999, con una especie de obertura en la que recrea tres leyendas urbanas. A efectos de lo que sigue, la que importa es la primera, la que abre el film: el asesinato de un residente de Greenberry Hill, en Londres, llamado Edmund William Godfrey, asesinado dentro de su farmacia por tres asaltantes, luego capturados, juzgados y ahorcados. Los convictos se llamaban, en la narración de Anderson, Joseph Green, Stanley Berry y Daniel Hill; vale decir, los apellidos forman el nombre del lugar del crimen: Green, Berry y Hill. Greenberry Hill.",Cultura
Un autorretrato de Frida Kahlo podría convertirse en la obra latinoamericana más cara de la historia,"Sotheby's espera recacaudar más de 30 millones de dólares por ""Diego y yo""","Sotheby's espera superar los 30 millones de dólares con un autorretrato de la legendaria pintora mexicana Frida Kahlo, en el que aparece también su marido Diego Rivera. Se trata de Diego y yo: el cuadro será puesto en subasta en noviembre próximo en Nueva York.",Cultura
"El ciclo ""Homenajes"" de Caras y Caretas aborda la figura de Gilda",Se transmitirá hoy martes a las 19 por la web de Página/12,"Miriam Alejandra Bianchi soñaba con cantar. Pero su vida de madre y esposa y su trabajo como maestra jardinera se interponían con ese deseo. Finalmente, arriesgó todo y se jugó por su pasión. Así nació Gilda, magnética, rebelde, solidaria, santa. A 25 años de su trágica muerte, Caras y Caretas la homenajea en su número de septiembre, que estará mañana en los kioscos opcional con Página/12.",Cultura
Alanis Morissette reveló que a los 15 años fue violada por varios hombres ,Jagged fue estrenado este lunes en el Festival de Toronto,"La cantante y compositora canadiense Alanis Morissette contó que fue violada por varios hombres cuando tenía 15 años. La revelación es parte del documental Jagged, realizado por HBO, que narra la carrera de la artista y muestra aspectos desconocidos acerca de su vida privada.",Cultura
Santa María de Iquique: la masacre de obreros que fue un disco prohibido,La obra más famosa de Quilapayún denunció la matanza de 1907 y la dictadura de Pinochet destruyó la cinta máster,"Catorce años antes antes de los fusilamientos en la Patagonia ocurridos durante la presidencia de Hipólito Yrigoyen en 1921, Chile vivió una masacre similar. Al igual que en el caso argentino hubo una enorme cantidad de víctimas; un atentado contra el militar responsable (que fracasó, al contrario de lo ocurrido con el coronel Héctor Varela en Buenos Aires); y una reconstrucción desde el arte. ",Cultura
Afirman que un cuadro de Paul Gauguin no sería suyo,"""Tahitianos"" se expone en Londres y está valuado en más de 20 millones de dólares","Un cuadro  de Paul Gauguin, valuado en 20.746.500 de dólares, que forma parte de la colección del Museo Nacional de Arte Británico, podría no pertenecer al artista francés. Así lo manifestó el Instituto Wildenstein Plattner de Nueva York, por lo que la institución londinense mantendrá el cuadro ""bajo revisión"".Se trata de Tahitianos, pintado hacia 1891. Es un cuadro inconcluso del artista, que vivió muchos años en la Polinesia, y las dudas acerca de su autoría determinaron su exclusión por parte del instituto neoyorquino, una fundación privada sin fines de lucro dedicada a la compilación de catálogos razonados.Una parte del cuadro de Gauguin (1848-1903) está pintado con óleo sobre papel, montado sobre un lienzo. En la parte izquierda de la composición, un niño y un fragmento del paisaje, con palmeras y montañas, están pintados al óleo de forma tosca. En la misma obra aparecen tres mujeres en el interior de una cabaña, con sus contornos esbozados al carbón. La mujer del centro de la composición está dibujada con más firmeza en crayón azul.El hecho de que el cuadro esté inacabado le confiere una importancia especial, ya que si fuera auténtico revelaría muchos datos sobre la técnica de Gauguin: empezar con un boceto a carboncillo, afianzar los contornos y luego pintar al óleo, pero si se tratara de una falsificación, sería engañosa.Las dudas sobre la autenticidad del cuadro fueron planteadas en 2020 por el historiador de arte francés Fabrice Fourmanoir, antiguo residente en la Polinesia, admirador de Gauguin e investigador de la autenticidad de las obras del postimpresionista francés.Fourmanoir está convencido de que la obra exhibida en el Tate Modern es una falsificación. ""Es una escena colonial estereotipada de Tahití, mientras Gauguin buscaba composiciones más primitivas. Las poses, los vestidos e inclusive el acordeón europeo que sostiene la mujer muestra a los tahitianos 'corrompidos' por las costumbres europeas"", afirmó en declaraciones a The Art Newspaper.Según Fourmanoir, el cuadro que se exhibe en el museo británico fue pintado por Charles Alfred Le Moine, que vivió en la Polinesia desde 1902, un año antes de la muerte de Gauguin, hasta 1918, año de su propia muerte. ",Cultura
"El Turco, el autómata que jugaba al ajedrez y anticipó a las computadoras ","Una historia que entrecruza figuras como Franklin, Napoleón, Beethoven y Poe","A lo largo del siglo XX tomó forma la idea de que una inteligencia artificial pudiera manifestar su superioridad ante el ser humano. El campo de acción del desarrollo tecnológico pasaba por la computación. Y una de las expresiones en las que una máquina y una persona podían medirse era el ajedrez. En 1988 se desarrolló Deep Thought. Diseñada para jugar el juego-ciencia, derrotó al gran maestro danés Bent Larsen. En 1989, disputó dos partidas con el campeón mundial Garry Kasparov. En ambos encuentros, ganó el cerebro humano. Para 1996 se concertó el match entre Kasparov y Deep Blue. El campeón se impuso 4 a 2, producto de tres victorias y dos empates, pero sufrió una derrota. Un año más tarde, la versión Deeper Blue enfrentó a Kasparov, de vuelta a seis partidas, y ganó por 3½ a 2½. Un campeón del mundo ya no solamente perdía una partida, sino un match.",Cultura
Fervor de Jean-Luc Nancy  ,,"Para quienes conocíamos la desbordante actividad filosófica de Jean-Luc Nancy, y con más razón para quienes también sabíamos la vida que llevaba, su muerte resulta simplemente inconcebible. Desde hace mucho tiempo, Nancy se había transformado en un activo sobreviviente. Un trasplante de corazón a principios de la década de 1990 y los efectos más o menos esperables de la disminución inmunitaria que siguió a la operación lo habían dejado al borde de la muerte. Esta serie de sucesos, al mismo tiempo una “aventura metafísica” y una “performance técnica”, fue narrada por Nancy en un conocido ensayo titulado El intruso (Buenos Aires, Amorrortu, 2006). Desde entonces, sus estadías en el hospital se hicieron recurrentes y terminaron por volverse habituales. Lejos de lo que se podía esperar, los 30 años de sobrevida con el corazón de otra persona y con recaídas de salud intermitentes fueron increíblemente fecundos. La mayor parte de su obra, compuesta por más de un centenar de libros y un sinnúmero de contribuciones, fue realizada en este periodo durante el cual el pensamiento de la finitud y la experiencia de la urgencia fueron la trama sutil de su escritura. Nancy escribía noche y día, incansablemente, sobre los temas más variados. Tenía especial inclinación por la historia de la filosofía, la ontología y la política, la estética, la religión y el psicoanálisis, pero siempre se mostraba abierto y extremadamente atento a otros lenguajes, a otras sensibilidades. Sus colaboraciones con artistas del mundo de la danza y la pintura, del dibujo y el cine, seguramente serán recordadas junto a sus publicaciones sobre la comunidad, la libertad, el cuerpo, la democracia y el sentido.",Cultura
Los Rolling Stones recordaron a Charlie Watts con un video,El baterista falleció el martes a los 80 años,"Los Rolling Stones homenajearon a Charlie Watts con un video a través de las redes sociales. Vía Twitter, y luego a través de las cuentas de Mick Jagger y Keith Richards, la legendaria banda británica compartió el video de dos minutos, en el que con música de los Stones, se ve al baterista fallecido en distintas épocas.",Cultura
La trombonista que se rebeló ante la misoginia y enfrentó a la ciudad de Múnich,La estadounidense Abbie Conant litigó más de una década por sus derechos,"Las orquestas siempre fueron territorio de hombres. Hoy hay algunas con un tercio o hasta la mitad de mujeres. Pero ver presencia femenina en una formación era algo raro hasta hace no muchos años. Y si se habla de machismo y misoginia en ese ambiente, hay un caso con ribetes kafkianos que comenzó en 1980 con una audición para trombonista en la Filarmónica de Múnich y tuvo por protagonistas centrales durante casi trece años a quien resultó elegida, Abbie Conant, y al director Sergiu Celibidache.",Cultura
"Murió Patricia Salazar, compañera y musa del Flaco Spinetta",Estuvo casada con el músico durante casi dos décadas ,"Patricia Salazar, exesposa de Luis Alberto Spinetta y madre de sus cuatro hijos, falleció este viernes. Una de sus hijas, Vera Spinetta, confirmó la noticia a través de su cuenta de Instagram. ",Cultura
La pasión de Manuel Puig,Revista Caras y Caretas te invita al ciclo homenaje,La mesa de presentación estará a cargo de: ,Cultura
Ken Loach fue expulsado del Partido Laborista inglés,"El cineasta denunció una ""caza de brujas"" ","El director de cine Ken Loach anunció este sábado que fue expulsado del Partido Laborista británico debido a la ""purga"" y ""caza de brujas"" del líder del principal partido de oposición del Reino Unido, Keir Starmer. ",Cultura
Las despedidas a Pil Trafa,Dolor en las redes sociales por la muerte del cantante,"La muerte de Pil Trafa, que se conoció a última hora del viernes, conmocionó al ambiente del rock y de la cultura en general. El cantante de Los Violadores tenía 62 años y lideró una de las bandas emblemáticas del rock argentino en las últimas décadas.",Cultura
"Murió Pil Trafa, el líder de Los Violadores",Referente del punk en Argentina y toda Latinoamérica,"Enrique Chalar, conocido como Pil Trafa, líder de Los Violadores y uno de los máximos referentes del punk en Argentina y toda Latinoamérica murió a los 62 años en Lima, Perú, donde se había radicado hace unos años junto con su banda Pilsen. Fue justamente su banda la que dio a conocer la noticia por redes sociales.",Cultura
"""Más allá del olvido"", la película de Hugo del Carril que se adelantó a Hitchcock","Su argumento es similar al de ""Vértigo"", estrenada dos años después","Es una de las mejores películas que se han filmado. Muestra la historia de un hombre enamorado de una mujer. Ella muere y él se encuentra luego con otra, muy parecida, a la que empieza a vestir igual a la difunta con la idea de recuperarla. Es Vértigo, de Alfred Hitchcock. Pero lo mismo cabe para Más allá del olvido, de Hugo del Carril, que aparece al tope en los listados de grandes películas argentinas. Y que se estrenó dos años antes de una de las obras cumbre del director inglés.",Cultura
Murió la hija de Alfred Hitchcock a los 93 años,"Patricia fue actriz, filmó con su padre y escribió la biografía de su madre","Patricia Hitchcock, la única hija de uno de los más grandes directores de la historia del cine murió a los 93 años. La descendiente de Alfred Hitchcock murió en California el lunes pasado a los 93 años, según conirmó una de sus tres hijas, Katie O´Connell. ",Cultura
"""Okupas"" llegó a Netflix ",Está disponible desde este 20 de julio,"La miniserie argentina ""Okupas"" llegó a Netflix. A 20 años de su irrupción en la pantalla chica en 2000, cuando marcó el inicio de las ficciones televisivas ""marginales"" a través de un retrato honesto y muy propio del escenario de profundo deterioro social que dio paso a la crisis que estalló un año más tarde en Argentina, está disponible desde este 20 de julio en la plataforma de streaming.",Cultura
León Gieco homenajeó a Elpidio Herrera ,A 50 años de la creación de la “Sachaguitarra”,"Elpidio Herrera, músico, compositor y luthier santiagueño, fue un referente del folklore argentino. Falleció en 2019, a los 71 años, pero dejó su huella con una creación única, que se convirtió en una marca registrada, y trasciende el paso del tiempo: La Sachaguitarra.",Cultura
Antonio Banderas se suma a la quinta película de Indiana Jones ,El rodaje ya comenzó y se estrenará en 2022 ,"El español Antonio Banderas compartirá pantalla con Harrison Ford en la quinta entrega de Indiana Jones, cuyo estreno está previsto para el 29 de julio de 2022. Así lo confirmó la revista especializada Deadline este jueves.",Cultura
Qué dijo L-Gante después de la mención de Cristina Kirchner,Subió un video a su cuenta de Instagram,"L-Gante, uno de los traperos que destacó la vicepresidenta en su discurso al presentar el jueves el programa ""Conectar Igualdad Lomas"", subió un video a su cuenta de Instagram con el fin de mostrarse ""agradecido"" con ella.""Esta historia la hago sólo para mostrarme agradecido con la persona que tomó el valor y llevó el gran cargo de mostrar por cadena nacional un reconocimiento hacia mis logros"", expresó el joven.",Cultura
Hallaron raras obras de Van Gogh dentro de un libro,"Son bocetos de campesinos, y se piensa que se usaban como señaladores ","Tres dibujos desconocidos del pintor Vincent Van Gogh (1853-1890) fueron encontrados dentro de una novela sobre el campesinado francés, en un papel que tiene exactamente la misma altura que el libro. Por su forma rectangular puede pensarse como un marcador o señalador.",Cultura
Hasta el último viernes,,"“Cuenta un sueño, pierde un lector."" Cada vez que alguno de nosotros llevaba a las quincenales reuniones de los viernes un texto que rozaba lo onírico, con una sonrisa, nos tiraba ese mandamiento de Henry James. Curiosamente, ya en pandemia, publicó una contratapa donde contaba un sueño en el que nadaba por las calles de Buenos Aires con una fluidez y sincronización semejante a los chinos que practican Tai Chi en las plazas.",Cultura
Corazones cautivos,,"Y sí, acaba de sucumbir uno de los inmortales. A pesar de que hace veinte años su vida estuvo en serio peligro por la pancreatitis, a pesar de algunos episodios posteriores peliagudos, para mí siempre fue uno de los inmortales, de los que están para los otros, para observar el mapa y el camino, para auscultar las épocas y los panoramas, los que miran las nuevas olas porque ya son parte del mar. Escribo no por obligación, no porque me lo impongan --aunque en estos casos la disciplina tiene algo hermosamente emparentado con las bellas artes-- sino porque creo que a un narrador hay que despedirlo narrando, lo que se pueda, como se pueda. Porque cumplir con un deber también es parte de esto que damos en llamar bellamente, dolorosamente, la literatura, y Juan, para mí, fue en gran medida la puerta de entrada a la literatura.",Cultura
Subastarán en Londres un poema manuscrito de García Lorca,"Se trata de ""Romance de la luna, luna"", dedicado a un amigo diplomático ","El único manuscrito que se conoce de ""Romance de la la luna, luna"", el primer poema del Romancero Gitano de Federico García Lorca, saldrá a subasta este viernes en París, con un precio de salida estimado entre 20 mil y 30 mil euros (entre 23.876 y 35.814 dólares, al cambio actual).El documento, que se ha conservado en perfecto estado a excepción de un ligero amarilleo por el paso del tiempo, fue escrito a mano por Lorca y dedicado en 1934 al diplomático andaluz José Mora Guarnido, a quien había conocido en su juventud en el café Alameda de Granada.""Cuando Lorca estaba escribiendo el Romancero leyó este poema a Guarnido. Años después, cuando viajó por Latinoamérica con La Barraca, para la gira de su teatro, se lo regaló en esta hoja manuscrita"", explicó Patricia de Fougerolle, comisaria de la venta en Sotheby's.Mora Guarnido, que permaneció el resto de su vida en Uruguay, donde fue cónsul durante la Segunda República española, es además uno de los primeros biógrafos de Lorca; de ahí también la importancia de este documento.El poema ""Romance de la luna, luna"", va encabezado con una dedicatoria en la que se lee: ""Para un viejo y queridísimo camarada"", y acompañada además por varios dibujos en azul y rojo, una luna y un hombre con sombrero que, según la comisaria, sería la representación de un gitano. Lorca lo firmó además con sus iniciales.A la muerte de Mora Guarnido, éste legó su biblioteca a un amigo uruguayo, el profesor Alcides Giraldi, que conservó el manuscrito, vendido ahora por sus descendientes. ""Desde los años 1980 sólo tenemos constancia de una docena de manuscritos y cartas de Lorca que han sido vendido en subastadas. La particularidad de este es además que se trata de un regalo a un amigo de juventud"", añadió De Fougerolle. La comisaria dijo que espera ver ""un buen duelo de coleccionistas"" en la venta, que se inscribe en el marco de una subasta de manuscritos y libros antiguos, a realizarse del 18 al 25 de junio en la sede de Sotheby's en París. El último manuscrito de Lorca vendido por la casa Sotheby´s, en Londres en 2007, fue adquirido por el ministerio de Cultura español.",Cultura
"Novedades de ""Rick and Morty"", ""Gossip Girl"" y Disney",Programados,"* Warner Channel emitirá el primer capítulo de la quinta temporada de Rick and Morty el próximo domingo a la medianoche. Justo en el día Mundial que celebra a la dupla viajera. Terminada la emisión, se podrá ver dos piezas inéditas para la pantalla local: “Paul Robertson Short” y “Samurai and Shogun Part 1”. Dense por notificados y ¡wubba lubba dub dub!",Cultura
"Loki, mi villano favorito en Disney+",La curiosa evolución del personaje,"El es Loki de Asgard y -a pesar de que esa se ha convierto en su frase de cabecera- nunca fue cargado con un glorioso propósito. Tras una década de moverse en los bordes del Marvel Cinematic Universe (o Universo Cinematográfico Marvel, o MCU, cada fan tiene su elección), el personaje que encarna Tom Hiddleston al fin ocupa un lugar central en el escenario. Hasta ahora, las cámaras se habían mantenido firmemente enganchadas a la cohorte siempre en expansión de los Vengadores, Loki, uno de los más infames villanos de la millonaria franquicia, es el tema central de la nueva serie de la plataforma Disney+, estrenada el miércoles 9 de junio y con un episodio estreno cada semana.",Cultura
"“Loki”, por Disney +: el villano más carismático tiene su propia serie",Encarnado por Tom Hiddleston,"No muchos lo recuerdan, pero en una ocasión el Coyote logró el cometido de capturar al Correcaminos. “Ok, sabelotodos, siempre quisieron que lo atrapara. ¿Ahora qué hago?”, preguntaba el personaje animado sosteniendo un cartel la audiencia. Loki (Disney +) remite al famélico cartoon con las mismas dudas existenciales. ¿Cuál es el propósito de un villano? ¿Qué vendría después de vencer? La nueva serie de Marvel (estreno hoy miércoles 9, un episodio por semana) incluye otra semejanza con aquel clásico en su primera escena. El dios de las travesuras cae desde el cielo y se desploma contra el piso de un desierto tal como lo hacía el Coyote. Es momento para Loki (Tom Hiddleston) de ponerse de pie y perseguir a su Correcaminos, de nuevo.",Cultura
Martha Argerich cumple 80 años: el video homenaje del Ministerio de Cultura,Considerada una de las mayores pianistas de la historia,"La pianista Martha Argerich cumple hoy 80 años. El aniversario ha sido reconocido por el Ministerio de Cultura, que compartió un video celebrando las ocho décadas de vida de la artista. Considerada una de las mayores intérpretes de la historia, nació el 5 de junio de 1941 en Buenos Aires. La relación con el piano comenzó a los tres años y estudió con Vicente Scaramuzza. Fue de joven a perfeccionarse a Viena, cuando ya asombraba por su talento precoz.",Cultura
Confirman que un cuadro atribuido a Goya es obra de un pintor de Puerto Rico,"""Retrato de la madre del artista"" fue pintado por José Campeche ","Un cuadro que se pensaba que era de Francisco de Goya resultó ser obra de José Campeche, considerado el mejor pintor centroamericano del siglo XVIII. Se trata de Retrato de la madre del artista, un cuadro que se suponía pintado por el artista español.",Cultura
"Netflix, Disney +, HBO, Amazon y StarzPlay: lo que viene en junio",Menú para anotar en la agenda,Elvis Presley: El rey del rock and roll. 1 de junio. Docuserie. ,Cultura
"Subastarán un manuscrito ""increíblemente raro"" con poemas de Emily Brontë",Documentos inéditos de la autora de Cumbres borrascosas,La casa de subastas Sotheby´s sacará a la venta una auténtica rareza: un manuscrito de Emily Brontë con correcciones en lápiz de hermana Charlotte. La subasta será en julio y se espera recaudar entre uno y dos millones de dólares. ,Cultura
Subastaron mechones de cabello de Kurt Cobain por más de 14 mil dólares,El cantante de Nirvana se suicidó en 1994,"Seis mechones de cabello de Kurt Cobain se subastaron en 14.145 dólares este martes. La venta se hizo en el marco de una subasta organizada por Iconic Auctions, titulada The Amazing Music Auction (""La sorprendente subasta musical"", en inglés). El pelo de Cobain fue el objeto más llamativo de la subasta, en una compulsa que incluyó material de los Beatles, Led Zeppelin y Bob Dylan. ",Cultura
La obra más famosa de Banksy se vendió en criptomonedas e hizo historia,Se pagaron casi 13 millones de dólares ,"La obra más famosa del artista Banksy, Love is in the air, se vendió en una subasta en Sotheby´s. La novedad es que fue en el marco de la primera compulsa en criptomonedas en la historia de la célebre casa de subastas. La imagen de un joven que se manifiesta con un ramo de flores se vendió en 12,9 millones de dólares.",Cultura
"""Don Ángel Demonio"", un compilado que homenajea a Ángel Villoldo",Publicado por Ahijuna Records,"“El eje es lo que nosotros llamamos tradipunk, que define nuestro gusto por la música tradicional y las expresiones folklóricas o de raíz de distíntos orígenes, articuladas desde la cultura punk, que es desde donde venimos y nos formamos musicalmente”, explica el Tano Capitano, timonel de Ahijuna Records y responsable de Don Ángel Demonio, el compilado que homenajea a Ángel Villoldo. “Encontramos en él a un personaje ineludible, bisagra, en quien confluyen distintos elementos de la época que conforman nuestro espectro musical y nuestra identidad cultural porteña”, plantea. En el disco se cruzan músicos de tradición tanguera con punks y murgueros, y el resultado es muy orgánico. Así aparecen Pablo Dacal, Momo A Shanty, Fandango, Despelotango, Los hermanos Butaca, o la Típica Pan Casero, entre otros.",Cultura
Más 50 mil trabajadores recibirán una ayuda extraordinaria de Cultura,Cobrarán dos cuotas de 15 mil pesos,"El Ministerio de Cultura publicó la lista de los 50 mil beneficiarios del apoyo económico extraordinario llamado ""Cultura Solidaria"" que, con una inversión de 1500 millones de pesos, se propone acompañar a artistas y trabajadores del sector de todo el país en el contexto de crisis sanitaria.",Cultura
"De McCartney a Noel Gallagher, más de 150 músicos británicos protestan contra el streaming",Le enviaron una carta a Boris Johnson,"Paul McCartney, Chris Martin, cantante de Coldplay, y Noel Gallagher, de Oasis, son algunos de los 156 artistas que firmaron una carta dirigida al primer ministro británico, Boris Johnson, para pedir una reforma de las leyes del streaming.",Cultura
"Murió Felix Silla, el actor que hizo del Tío Cosa en ""Los locos Addams""",Tenía 84 años,"El actor Felix Silla, conocido por su papel como el Tío Cosa en la serie de comedia Los locos Addams emitida en la década del 60, falleció en las últimas horas a los 84 años como consecuencia de un cáncer de páncreas.",Cultura
Murió el escritor Carlos Busqued,A los 50 años,"El autor de una de las ficciones más tóxicas de la literatura argentina de la última década, una especie de Juan Rulfo del Río de La Plata, era un gran misántropo que tenía un manejo excepcional de la rabia y la ironía. Escribir en pretérito imperfecto acaso sea la comprobación más cabal de una noticia que cayó como un balde de agua fría para los escritores, periodistas y lectores: murió el escritor Carlos Busqued, a los 50 años, como consecuencia de un accidente doméstico. Una muerte tan absurda como inesperada y dolorosa. Resulta imposible escapar del mundo y el clima de su primera novela, Bajo este sol tremendo, finalista del premio Herralde de Novela en 2008, publicada un año después por la editorial Anagrama. Los personajes están casi todo el tiempo fumando marihuana, sobre todo Cetarti, un desocupado sumergido en la incertidumbre existencial que tiene que viajar a Lapachito (Chaco) para hacerse cargo de los cuerpos de su madre y su hermano, que fueron asesinados a escopetazos. Ese paisaje con casas hundidas en el barro, un calor sofocante y animales venenosos es inolvidable.",Cultura
La mujer escondida en la tapa,"La historia real, y mágica, de la primera edición de ""Cien años de soledad""","Acaba de fallecer Vicente Rojo, a los 89 años. Vicente, mexicano por adopción, fue uno de los grandes artistas y diseñadores pertenecientes de las vanguardias estéticas de los 50/60. Como bien se señala en su homenaje en redes y diarios, a Vicente se lo conoce por su famoso diseño de tapa de Cien años de soledad, el libro cumbre de Gabriel García Márquez, editado por Sudamericana el 30 de mayo de 1967 y que rápidamente se transformó en un best-seller.",Cultura
"Murió Vicente Rojo, el creador de la famosa portada de ""Cien años de soledad""","Nacido en Barcelona, vivía en México desde 1949 y tenía 89 años","Vicente Rojo, el artista hispano-mexicano que diseñó la  portada de Cien años de soledad, de Gabriel García Márquez, falleció ayer en México, dos días después de haber cumplido 89 años.",Cultura
Netflix prueba cambios que complican el uso compartido de la cuenta  ,Posible freno a una práctica habitual entre familiares y amigos,"Netflix comenzó a probar una función que podría conspirar contra el uso compartido de la cuenta, algo frecuente entre familiares y amigos. A partir de la modificación al ingresar a la plataforma de streaming muestra un aviso y envía un código al usuario registrado como titular de la cuenta para veficar que sea quien pretende entrar.",Cultura
Murió José Nun,El exsecretario de Cultura tenía 86 años,"El ex secretario de Cultura, politólogo, intelectual y ensayista, José Nun, falleció hoy a los 86 años. Nun fue investigador del Conicet, fundador del Instituto de Altos Estudios Sociales de la Universidad Nacional de General San Martín y uno de los intelectuales que respaldó desde el inicio la gestión de Néstor Kirchner: ""Este gobierno es el verdadero fin de la dictadura"", había dicho en una entrevista a PáginaI12 en 2008, aunque más tarde tomara distancia del kirchnerismo.  ",Cultura
Murió el folklorista Omar Moreno Palacios,Referente de la música del sur bonaerense,"Omar Moreno Palacios, uno de los máximos referentes de la canción folklórica surera, murió anoche a los 82 años, tras permanecer varios meses internado por una encefalitis. Su hija Rocío dio la noticia a través de un mensaje en las redes sociales.",Cultura
"Murió Chick Corea, un genio del jazz",El pianista estadounidense tenía 79 años,"""Con gran tristeza anunciamos que el 9 de febrero, Chick Corea falleció a los 79 años de edad, de una rara forma de cáncer que sólo fue descubierta recientemente"". De esta forma, vía Facebook, se informó hoy la muerte de Armando Anthony Corea, uno de los grandes pianistas de jazz. Chick Corea había nacido en Chelsea, Massachusetts, el 12 de junio de 1941.",Cultura
